n,descr1
0,"Riservato"
1,"Riservato"
2,"Riservato"
3,"Riservato"
4,"Riservato"
5,"Riservato"
6,"Riservato"
7,"Riservato"
8,"Riservato"
9,"Riservato"
10,"10 compartimenti con corridoio laterale o 10 compartimenti fittizi con corridoio centrale"
11,"≥ 11 compartimenti con corridoio laterale o ≥ 11 compartimenti fittizi con corridoio centrale"
12,"Riservato"
13,"Riservato"
14,"A 2 o 3 assi"
15,"Riservato"
16,"Carrozze a due piani"
17,"≤ 7 compartimenti con corridoio laterale o ≤ 7 compartimenti fittizi con corridoio centrale"
18,"8 compartimenti con corridoio laterale o 8 compartimenti fittizi con corridoio centrale"
19,"9 compartimenti con corridoio laterale o 9 compartimenti fittizi con corridoio centrale"
20,"10 compartimenti con corridoio laterale o 10 compartimenti fittizi con corridoio centrale"
21,"11 comparti menti con corridoio laterale o 11 comparti menti fittizi con corridoio centrale"
22,"≥ 12 compartimenti con corridoio laterale o ≥ 12 compartimenti fittizi con corridoio centrale"
23,"A 3 assi"
24,"A 2 assi"
25,"Solamente per OSJD, carrozze a due piani"
26,"Carrozze a due piani"
27,"Riservato"
28,"≤ 8 compartime nti con corridoio laterale o ≤ 8 compartime nti fittizi con corridoio centrale"
29,"9 compartimenti con corridoio laterale o 9 compartimenti fittizi con corridoio centrale"
30,"10 compartimenti con corridoio laterale o 10 compartimenti fittizi con corridoio centrale"
31,"11 compartimenti con corridoio laterale o 11 compartimenti fittizi con corridoio centrale"
32,"≥12 compartimenti con corridoio laterale o ≥12 compartimenti fittizi con corridoio centrale"
33,"Riservato"
34,"A 2 o 3 assi"
35,"Riservato"
36,"Carrozza a due piani"
37,"Riservato"
38,"≤ 8 compartime nti con corridoio laterale o ≤ 8 compartime nti fittizi con corridoio centrale"
39,"9 compartime nti con corridoio laterale o 9 compartime nti fittizi con corridoio centrale"
40,"10 compartimenti di 1/2 classe"
41,"Riservato"
42,"Riservato"
43,"Riservato"
44,"≤ 9 compa rtimen ti di 1/2 classe"
45,"Riservato"
46,"Riservato"
47,"Riservato"
48,"Riservato"
49,"≤ 9 compartimenti di 1 classe"
50,"10 compartimenti"
51,"11 compartimenti"
52,"12 compartimenti"
53,"Riservato"
54,"Riservato"
55,"Riservato"
56,"Riservato"
57,"Riservato"
58,"Riservato"
59,"≤ 9 compartimenti"
60,"Riservato"
61,"Riservato"
62,"Riservato"
63,"Riservato"
64,"Riservato"
65,"Riservato"
66,"Riservato"
67,"Riservato"
68,"Riservato"
69,"Riservato"
70,"10 compartimenti"
71,"11 compartimenti"
72,"12 compartimenti"
73,"Riservato"
74,"Riservato"
75,"≥ 12 compartimenti"
76,"Riservato"
77,"Riservato"
78,"Riservato"
79,"Riservato"
80,"Carrozze pilota con posti a sedere di tutte le classi con cabina di guida, con o senza bagagliaio"
81,"Carrozze con posti a sedere di 1 o di 1/2 classe con compartimento bagagli o postale"
82,"Carrozze con posti a sedere di 2 classe con compartimento bagagli o postale"
83,"Riservato"
84,"Carrozze con posti a sedere di tutte le classi con spazio appositamente attrezzato per giochi d’infanzia"
85,"Carrozze con posti a sedere e carrozze cuccette di tutte le classi con spazio bar e/o buffet"
86,"Riservato"
87,"Carrozze ristorante e carrozze con spazi bar e/o buffet, con bagagliaio"
88,"Carrozze ristorante"
89,"Altre carrozze speciali"
90,"Veicoli postali"
91,"Furgoni Bagagliai con comparti mento postale"
92,"Furgoni Bagagliai"
93,"Furgoni Bagagliai e carrozze con posti a sedere di 2 classe, a 2 o 3 assi, con compartimento bagagli o postale"
94,"Furgoni bagagliai a 2 o 3 assi, con scompartimento postale"
95,"Furgoni bagagliai con o senza scomparto doganiere con corridoi o laterale"
96,"Riservato"
97,"Veicoli per il trasporto di automobili a 2 o 3 assi"
98,"Veicoli per il trasporto di automobili"
99,"Veicoli di servizio"